graph,KPBB,KPBB/RR,KPBB/StrongHeuris,KPBB/RefinedUB,KPLEX,kPlexS,DiseMKP
Network-Repository-fb-messages-8,0.0761,0.1048,0.1513,0.1048,0.1059,0.1527,1.3724
Network-Repository-fb-messages-10,0.4497,0.6779,27.1314,0.7472,1.0624,1.0289,29.2332
Network-Repository-fb-messages-15,9.6777,10.3381,9.7813,11.1506,28.3466,3620,3620
Network-Repository-fb-messages-20,0.0504,0.0604,0.0428,0.0437,0.1739,3620,3620
Network-Repository-ia-prosper-loans-2,1.2121,1.01,1.0541,1.3049,3.02,2.9239,7.7477
Network-Repository-ia-prosper-loans-5,1.3527,1.1421,1.5932,1.3527,2.9738,3.1957,8.1673
Network-Repository-ia-prosper-loans-8,1.1485,1.1268,1.454,1.3073,3.2816,2.9526,287.1135
Network-Repository-ia-prosper-loans-10,2.71,2.6705,59.1278,2.5465,26.8902,12.5806,3620
Network-Repository-ia-prosper-loans-15,11.1193,10.9824,43.6526,11.9578,41.7845,65.1284,3620
Network-Repository-ia-prosper-loans-20,251.9311,313.9185,255.8228,346.4497,643.3645,202.5372,3620
Network-Repository-ia-slashdot-reply-dir-2,0.0146,0.0144,0.0113,0.0103,0.0131,0.0176,0.0245
Network-Repository-ia-slashdot-reply-dir-5,0.0193,0.0184,0.0156,0.0144,0.0181,0.0177,0.0321
Network-Repository-ia-slashdot-reply-dir-8,0.8614,0.8931,39.8524,0.8111,1.666,1.286,5.6747
Network-Repository-ia-slashdot-reply-dir-10,11.7123,13.5977,11.6804,14.1188,86.5814,31.1178,125.5261
Network-Repository-ia-slashdot-reply-dir-15,0.0283,0.0408,0.0314,0.0327,0.0498,3620,3620
Network-Repository-ia-slashdot-reply-dir-20,0.0102,0.0099,0.004,0.0029,0.0033,3620,3620
Network-Repository-ia-wiki-Talk-dir-2,20.2651,19.4159,28.7522,21.7652,258.5631,2355.5103,537.4222
Network-Repository-ia-wiki-Talk-dir-5,5.505,6.5558,8.8612,7.6323,2979.3732,3620,3620
Network-Repository-ia-wiki-Talk-dir-8,9.5698,25.5142,12.2608,16.9026,3620,3620,3620
Network-Repository-ia-wiki-Talk-dir-10,41.8907,165.0815,65.5547,140.9737,3620,3620,3620
Network-Repository-ia-wiki-Talk-dir-15,3620,3620,3620,3620,3620,3620,3620
Network-Repository-ia-wiki-Talk-dir-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-ip-trace-2,0.3202,0.32,0.3434,0.328,1.6028,6.0464,0.9418
Network-Repository-ip-trace-5,0.1854,0.2531,0.1645,0.2594,3.7496,61.5097,20.7702
Network-Repository-ip-trace-8,0.1709,0.2605,0.8565,0.2773,2.3191,24.8167,255.6178
Network-Repository-ip-trace-10,1.8994,2.6772,1.8054,3.4723,33.8209,215.1909,3556.8344
Network-Repository-ip-trace-15,2.6032,2.9006,2.734,3.6597,6.8918,33.8668,3620
Network-Repository-ip-trace-20,0.9414,1.0497,0.9257,1.1482,4.9312,10.5664,3620
Network-Repository-PLC-40-30-L5-2,0.0989,0.1031,0.1062,0.0952,0.3395,0.3998,0.6807
Network-Repository-PLC-40-30-L5-5,0.1092,0.11,0.088,0.1073,0.3592,0.3393,2.0273
Network-Repository-PLC-40-30-L5-8,0.1172,0.1216,0.1522,0.1178,0.5376,0.5327,76.9751
Network-Repository-PLC-40-30-L5-10,0.337,0.3512,0.7503,0.4142,0.5791,1.383,530.2127
Network-Repository-PLC-40-30-L5-15,9.7486,11.1004,192.6692,12.7189,13.2411,35.8941,3620
Network-Repository-PLC-40-30-L5-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-PLC-60-30-L2-2,1.7271,1.6881,1.7702,1.6529,9.4467,11.18,16.8946
Network-Repository-PLC-60-30-L2-5,1.6985,1.712,1.6345,1.8001,12.1869,9.4038,28.9593
Network-Repository-PLC-60-30-L2-8,1.5634,1.6267,1.5654,1.3858,11.2772,9.6617,833.7218
Network-Repository-PLC-60-30-L2-10,3.2592,3.5446,8.7044,4.4034,12.5679,16.5412,3620
Network-Repository-PLC-60-30-L2-15,3620,3620,3620,3620,2052.3273,3620,3620
Network-Repository-PLC-60-30-L2-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-rec-epinions-user-ratings-2,8.1486,7.5884,25.8515,7.7515,23.6947,20.1573,329.5031
